Internal ID,ID,Name,Primary Parent vendor,Vendor Status,Vendor Type
56658,99000,"Fuel Masters, LLC",,Approved,Local
56784,99001,FM - Tartan 101-504102-3344,"99000 Fuel Masters, LLC",Approved,Local
20645,99002,FM / Jaguar - 93050 - TXLED,"99000 Fuel Masters, LLC",Approved,Local
20646,99003,FM /  Motiva - 84375 - TXLED,"99000 Fuel Masters, LLC",Approved,Local
56834,99005,Wallis / Motiva 200005025,"99070 Wallis Oil Co, Inc",Approved,Local
20647,99006,Kendrick / Valero - 164 240332,99020 Kendrick Oil Co,Approved,Local
20648,99007,Mans/Mara - 5-1-0263379416,99030 Mansfield Oil Co - EFT,Approved,Local
64673,99008,Mansfield / Jag - 388 195303,99030 Mansfield Oil Co - EFT,Approved,Local
56807,99009,Mans / Exxon 500-5015442,99030 Mansfield Oil Co - EFT,Approved,Local
56806,99010,Mans / Exxon 49-01-45147,99030 Mansfield Oil Co - EFT,Approved,Local
23221,99011,NGL / Exxon 49-01-044-498380,"99950 NGL Crude Logistics, LLC",Approved,Local
56831,99013,Wallis / Exxon 500-456269,"99070 Wallis Oil Co, Inc",Approved,Local
56817,99014,Taylar / FH 127467,"99101 Taylar Energy, LLC - EFT",Approved,Local
56816,99015,Taylar / FH 127465,"99101 Taylar Energy, LLC - EFT",Approved,Local
56832,99016,Wallis / Exxon 559163015,"99980 Wallis Oil Co, Inc",Approved,Local
56808,99017,Mans / Val 371-120032-583574,99030 Mansfield Oil Co - EFT,Approved,Local
56818,99018,Taylar / FH 211-127468,"99101 Taylar Energy, LLC - EFT",Approved,Local
56814,99019,Tartan / Jaguar 246111116,"99960 Tartan Oil, LLC",Approved,Local
56659,99020,Kendrick Oil Co,,Approved,Local
56815,99021,Tartan / Jaguar 45-111116,"99960 Tartan Oil, LLC",Approved,Local
56810,99022,Musket / Jag 339-263302-195,99940 Musket Corporation,Approved,Local
56811,99023,Musket / Jaguar 339-263302,99940 Musket Corporation,Approved,Local
56793,99024,FM - Fuel Masters,"99000 Fuel Masters, LLC",Approved,Local
56835,99025,Wallis / Motiva 20016203,"99070 Wallis Oil Co, Inc",Approved,Local
56813,99026,Taylar / Gresham 97-1290481786,"99101 Taylar Energy, LLC - EFT",Approved,Local
56828,99027,US Energy 0438,99970 US Oil Division of US Venture,Approved,Local
56829,99028,US Venture / Jaguar 0439,99970 US Oil Division of US Venture,Approved,Local
