Inactive,Internal ID,ID,External ID,Name,Duplicate,Parent Vendor,Primary Parent vendor,Vendor Status,Vendor Type,Phone,Email,Fax,Alt. Contact,Office Phone,Billing Address,Shipping Address,Web Address,Comments,Login Access,Account,Terms
Yes,-3,-Accountant-,,,,No,,Approved,,,,,,,,,,,No,,
Yes,2148,1,,Test Lease Company,,No,,Approved,,,agustin@service-push.com,,,,,,,,No,,
No,58218,40286,,Petroleum Recovery Services - CC,,No,,Approved,National ,(843) 225-1777 ext 109,kim@prsfuel.com,,,,,,,,No,,Net 30 - Credit Card
Yes,24568,90053,,Alabama Department of Revenue,,No,,,,,,,,,,,,,No,,Due on receipt
No,24428,90101,,Arizona Department of Revenue,,No,,Pending,,,,,,,,,,,No,,Due on receipt
No,24426,90255,,California Secretary of State,Yes,No,,Pending,,,,,,,"California Secretary of State_x000D_
Business Entities_x000D_
PO Box 944228_x000D_
Sacramento CA 94244-2280_x000D_
United States","California Secretary of State_x000D_
Business Entities_x000D_
PO Box 944228_x000D_
Sacramento CA 94244-2280_x000D_
United States",,,No,,Due on receipt
No,24427,90256,,California State Board of Equalization,Yes,No,,Pending,,,,,,,"California State Board of Equalization_x000D_
Franchise Tax Board_x000D_
PO Box 942857_x000D_
Sacramento CA 94257-0531_x000D_
United States","California State Board of Equalization_x000D_
Franchise Tax Board_x000D_
PO Box 942857_x000D_
Sacramento CA 94257-0531_x000D_
United States",,,No,,Due on receipt
No,24425,90306,,City of Pueblo - CC,,No,,Pending,,,,,,,"City of Pueblo_x000D_
Finance Dept/Sales Tax Div_x000D_
PO Box 1427_x000D_
Pueblo  CO 81002_x000D_
United States","City of Pueblo_x000D_
Finance Dept/Sales Tax Div_x000D_
PO Box 1427_x000D_
Pueblo  CO 81002_x000D_
United States",,,No,,Credit Card
No,24551,90330,,"Colorado, Pueblo",,No,,,,,,,,,,,,,No,,Due on receipt
No,24548,90403,,Delaware Division of Revenue,,No,,,,,,,,,,,,,No,,Due on receipt
No,2630,90407,90407,Dennis K Burke - EFT,,No,,Approved,,(617) 884-7800,mark.pszeniczny@burkeoil.com,(617) 884-7638,,,"Dennis K Burke - EFT
PO Box 3639
Boston Massachusetts 2241
United States","Dennis K Burke - EFT
PO Box 3639
Boston Massachusetts 2241
United States",,,No,,COD
No,24422,90531,,Florida Department of Revenue,Yes,No,,Pending,,,,,,,"Florida Department of Revenue_x000D_
5050 W. Tennessee St. _x000D_
Tallahasee FL 32399-003908_x000D_
United States","Florida Department of Revenue_x000D_
5050 W. Tennessee St. _x000D_
Tallahasee FL 32399-003908_x000D_
United States",,,No,,Due on receipt
Yes,24421,90647,,Harris Cnty Tax Assessor-Col,,No,,Pending,,,,,,,,,,,No,,Due on receipt
Yes,24536,90648,,Harris County Dept of Education,Yes,No,,,,(713) 696-8241,akyles@hcde-texas.org,,,,,,,,No,,Net 30
No,24420,90649,,Harris County Engineering Permits,Yes,No,,Pending,,(713) 274-3900,,,,,"Harris County Engineering Permits_x000D_
10555 Northwest Fwy_x000D_
Houston TX 77092_x000D_
United States","Harris County Engineering Permits_x000D_
10555 Northwest Fwy_x000D_
Houston TX 77092_x000D_
United States",,,No,,Due on receipt
Yes,24418,90702,,Humble Independent School District,Yes,No,,Pending,,(281) 641-8190,,,,,"Humble Independent School District_x000D_
PO Box 4020_x000D_
Houston  TX 77210_x000D_
United States","Humble Independent School District_x000D_
PO Box 4020_x000D_
Houston  TX 77210_x000D_
United States",,,No,,Due on receipt
No,24416,90712,,Illinois Department of Revenue,Yes,No,,Pending,,,,,,,"Illinois Department of Revenue_x000D_
PO Box 19053_x000D_
Springfield  IL 62794-9053_x000D_
United States","Illinois Department of Revenue_x000D_
PO Box 19053_x000D_
Springfield  IL 62794-9053_x000D_
United States",,,No,,Due on receipt
No,24417,90713,,Illinois Secretary of State,Yes,No,,Pending,,(217) 524-8008,,,,,,,,,No,,Due on receipt
No,24414,90722,,Internal Revenue Service,Yes,No,,Pending,,,,,,,,,,,No,,Due on receipt
No,24415,90723,,Iowa Secretary of State,Yes,No,,Pending,,,,,,,,,,,No,,Due on receipt
Yes,2966,90761,90761,"Jet Age Fuel, Inc - CC",,No,,Approved,,,,,,,"Jet Age Fuel, Inc - CC
519 Pennsylvania Ave
Clearwater Florida 33755
United States","Jet Age Fuel, Inc - CC
519 Pennsylvania Ave
Clearwater Florida 33755
United States",,,No,,Credit Card
No,24518,90801,,Kentucky State Treasurer,,No,,,,(502) 564-4921 ext 5359,,,,,,,,,No,,Due on receipt
No,24412,90909,,Maryland Department of Revenue,Yes,No,,Pending,,,,,,,"Maryland Department of Revenue_x000D_
110 Carroll Street _x000D_
Annapolis  MD 21411-0001_x000D_
United States","Maryland Department of Revenue_x000D_
110 Carroll Street _x000D_
Annapolis  MD 21411-0001_x000D_
United States",,,No,,
No,24411,90910,,Massachusetts Secretary of the Commonweal,Yes,No,,Pending,,,,,,,"Massachusetts Secretary of the Commonweal_x000D_
One Ashburn Place Room 717_x000D_
Boston  MA 02108-1512_x000D_
United States","Massachusetts Secretary of the Commonweal_x000D_
One Ashburn Place Room 717_x000D_
Boston  MA 02108-1512_x000D_
United States",,,No,,
No,24410,90965,,Minnesota Department of Revenue,Yes,No,,Pending,,,,,,,,,,,No,,
Yes,24409,90967,,Mississippi Secretary of State,Yes,No,,Pending,,,,,,,,,,,No,,
No,24408,90977,,Montgomery County Commission,Yes,No,,Pending,,(334) 832-1697,,,,,,,,,No,,Due on receipt
No,24500,91010,,Nebraska Secretary of State,,No,,,,,,,,,,,,,No,,
No,24405,91015,,New Jersey Department of Revenue,Yes,No,,Pending,,,,,,,,,,,No,,
No,24406,91016,,New Mexico Taxation & Revenue Department,Yes,No,,Pending,,,,,,,,,,,No,,
Yes,24403,91028,,North Carolina Department of Revenue,Yes,No,,Pending,,,,,,,,,,,No,,
Yes,24404,91029,,North Carolina Secretary of State,,No,,Pending,,(888) 246-7636,,,,,,,,,No,,
No,24401,91030,,North Dakota Secretary of State,Yes,No,,Pending,,(701) 328-2904,,,,,,,,,No,,
No,24402,91034,,Northern New Mexico Gas,Yes,No,,Pending,,(575) 445-0007,vickie@northernnewmexicogas.com,,,,,,,,No,,Net 10
No,24400,91054,,Ohio Department of Taxation,Yes,No,,Pending,,,,,,,,,,,No,,
No,24399,91065,,Oklahoma Tax Commission,Yes,No,,Pending,,,,,,,,,,,No,,
No,24398,91077,,Oregon Secretary of State,Yes,No,,Pending,,(503) 986-2200,,,,,,,,,No,,
No,24397,91079,,PA  - Department of Revenue,Yes,No,,Pending,,,,,,,,,,,No,,
No,24396,91357,,South Carolina Department of Revenue,Yes,No,,Pending,,,,,,,,,,,No,,
No,24395,91391,,State of California-- Franchise Tax Board,Yes,No,,Pending,,(888) 635-0494,,,,,,,,,No,,Due on receipt
No,24394,91444,,Tennessee Department of Revenue,Yes,No,,Pending,,,,,,,,,,,No,,
No,3653,91452,91452,Texas Comptroller of Public Accounts,,,,Approved,,,,,,,"Texas Comptroller of Public Accounts
111 E. 17th Street
Austin Texas 78774
United States","Texas Comptroller of Public Accounts
111 E. 17th Street
Austin Texas 78774
United States",,,No,,Due on receipt
No,9197,91454,,Texas Department of Agriculture,,No,,,,,,,,,,,,,No,,
No,24393,91558,,Vermont Department of Taxes,Yes,No,,Pending,,(802) 828-2865,,,,,,,,,No,,Due on receipt
No,24392,91576,,Washington Parish,Yes,No,,Pending,,(985) 839-3434,,,,,,,,,No,,
No,24391,91620,,Wisconsin Department of Revenue,Yes,No,,Pending,,,,,,,,,,,No,,
No,24390,91629,,Wyoming Department of Transportation,Yes,No,,Pending,,(307) 777-4826,,,,,,,,,No,,
No,56658,99000,99000,"Fuel Masters, LLC",,Yes,,Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"Fuel Masters, LLC
133 Caddo Dr
Abilene TX 79602
United States","Fuel Masters, LLC
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56784,99001,,FM - Tartan 101-504102-3344,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM - Tartan 101-504102-3344
133 Caddo Dr
Abilene TX 79602
United States","FM - Tartan 101-504102-3344
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,20645,99002,99002,FM / Jaguar - 93050 - TXLED,,No,"99000 Fuel Masters, LLC",Approved,Local,,,,,,,,,,No,,
No,20646,99003,99003,FM /  Motiva - 84375 - TXLED,,No,"99000 Fuel Masters, LLC",Approved,Local,,,,,,,,,,No,,
Yes,56837,99004,,Wallis / Valero 164-588193,,No,"99070 Wallis Oil Co, Inc",Approved,Local,(573) 885-2277,Jalbin@mail.wallisco.com,,,,"Wallis / Valero 164-588193
106 E Washington
Cuba MO 65453
United States","Wallis / Valero 164-588193
106 E Washington
Cuba MO 65453
United States",,,No,,Net 10 - EFT
No,56834,99005,,Wallis / Motiva 200005025,,No,"99070 Wallis Oil Co, Inc",Approved,Local,(573) 885-2277,Jalbin@mail.wallisco.com,,,,"Wallis / Motiva 200005025
106 E Washington
Cuba MO 65453
United States","Wallis / Motiva 200005025
106 E Washington
Cuba MO 65453
United States",,,No,,Net 10 - EFT
No,20647,99006,99006,Kendrick / Valero - 164 240332,,No,99020 Kendrick Oil Co,Approved,Local,,,,,,,,,,No,,
No,20648,99007,99007,Mans/Mara - 5-1-0263379416,,No,99030 Mansfield Oil Co - EFT,Approved,,,,,,,,,,,No,,Net 30 - EFT
No,64673,99008,,Mansfield / Jag - 388 195303,,No,99030 Mansfield Oil Co - EFT,Approved,,,,,,,,,,,No,,Net 30 - EFT
No,56807,99009,,Mans / Exxon 500-5015442,,No,99030 Mansfield Oil Co - EFT,Approved,Local,(678) 450-2000,ashjones@mansfieldoil.com,,,,"Mans / Exxon 500-5015442
PO Box 733706
Dallas TX 75373-3706
United States","Mans / Exxon 500-5015442
PO Box 733706
Dallas TX 75373-3706
United States",,,No,,Net 30 - EFT
No,56806,99010,,Mans / Exxon 49-01-45147,,No,99030 Mansfield Oil Co - EFT,Approved,Local,(678) 450-2000,ashjones@mansfieldoil.com,,,,"Mans / Exxon 49-01-45147
PO Box 733706
Dallas TX 75373-3706
United States","Mans / Exxon 49-01-45147
PO Box 733706
Dallas TX 75373-3706
United States",,,No,,Net 30 - EFT
No,23221,99011,901009,NGL / Exxon 49-01-044-498380,,No,"99950 NGL Crude Logistics, LLC",Approved,Local,(918) 495-4615,rpmaccounting@nglep.com,,,,"Miller Towing and Recovery, LLC.
13522 FM 2432
Willis TX 77378
United States","Miller Towing and Recovery, LLC.
13522 FM 2432
Willis TX 77378
United States",,,No,,Net 10 - EFT
Yes,56830,99012,,Wallis / Mara 05-01-305205002,,No,"99980 Wallis Oil Co, Inc",Approved,Local,(573) 885-2277,Jalbin@mail.wallisco.com,,,,"Wallis / Mara 05-01-305205002
106 E Washington
Cuba MO 65453
United States","Wallis / Mara 05-01-305205002
106 E Washington
Cuba MO 65453
United States",,,No,,Net 10 - EFT
No,56831,99013,,Wallis / Exxon 500-456269,,No,"99070 Wallis Oil Co, Inc",Approved,Local,(573) 885-2277,Jalbin@mail.wallisco.com,,,,"Wallis / Exxon 500-456269
106 E Washington
Cuba MO 65453
United States","Wallis / Exxon 500-456269
106 E Washington
Cuba MO 65453
United States",,,No,,Net 10 - EFT
